dose,filter,filename,snr,cnr,precision,recall,dice,exec_time_s
0.05,original,136.png,2.2290164375442676,0.2460374715479791,0.356950833382904,0.5899486571874112,0.4447835634793613,0.0003239000216126442
0.05,original,137.png,1.6181326423997324,0.3091349415309266,0.22744434318433313,0.28374208218265085,0.252493134846076,0.00014379998901858926
0.05,original,138.png,2.2919880840127598,0.44338220658521965,0.25141872719889974,0.6736356231324008,0.36617223821120215,0.00015729997539892793
0.05,original,139.png,2.376233663697142,0.5033569308090345,0.13151265008572804,0.862693389590607,0.22823255813953489,0.00024009996559470892
0.05,original,14.png,2.035511596405414,0.5375130735189692,0.3406689626990014,0.5895545004539957,0.43181650018497963,0.00010810000821948051
0.05,original,140.png,1.7069075705971877,0.43301075004853395,0.33555433728320516,0.6224186483099011,0.4360358385620736,0.00018309999722987413
0.05,original,141.png,2.168832978038958,0.2508799601558706,0.15347129506002888,0.6622497479466193,0.2491938324797442,0.00014509999891743064
0.05,original,142.png,1.7625618385422686,0.20015049388280587,0.1884562370778124,0.7126661454251855,0.29808688068894096,0.00016820000018924475
0.05,original,143.png,2.2868120597443053,0.09410084332126512,0.13868765672884553,0.6463236487572694,0.22837151951366386,0.00013450003461912274
0.05,original,144.png,2.190178774984323,0.1886741746649559,0.2646686159842765,0.5566830668300976,0.358766019289206,0.0002136999974027276
0.05,original,145.png,1.945018569268356,0.32901144656181075,0.2511927113791587,0.6126416935660891,0.3562977515826239,0.00021060003200545907
0.05,original,146.png,2.207614634738179,0.44857386379358527,0.31910496045995723,0.7424986931513408,0.44637189277521133,0.0001453000004403293
0.05,original,147.png,2.420996759083847,0.049082429759256425,0.22085289514852577,0.4608163265299853,0.29859825443004495,0.00019290001364424825
0.05,original,148.png,2.070324915343573,0.24184940052703371,0.25498214193268026,0.6703864997269048,0.36944538193272586,0.00018259999342262745
0.05,original,149.png,2.0920129400275864,0.3654061147470276,0.4056218592962701,0.6433909000326773,0.49756003595736487,0.00014439999358728528
0.05,original,15.png,1.8919742711189398,0.4360442701043555,0.3692254254947498,0.7036628420115801,0.48431923456602627,0.00017499999376013875
0.05,original,150.png,2.0464440538686635,0.09564389958866365,0.22347891946472523,0.7019825535283886,0.3390271926464956,0.00018259999342262745
0.05,original,151.png,2.1299655267799515,0.12199795956609548,0.2858414393793084,0.5802038972763193,0.3829968481131272,0.00018939998699352145
0.05,original,152.png,2.3933072094765575,0.22284510782836522,0.24857076187128188,0.7024398285514302,0.3672009651844192,0.000132500019390136
0.05,original,153.png,2.28486203833434,0.6775788193194706,0.3892099600367694,0.6708525406662053,0.4926171624224267,0.00015159999020397663
0.05,original,154.png,2.296558680902368,0.8610234115182326,0.17582012532246719,0.35086428834108685,0.23425414364640884,0.00012310000602155924
0.05,original,155.png,1.965512001149272,0.6395898868161436,0.6064874093036635,0.6890532185711127,0.6451393223994097,0.0002047000452876091
0.05,original,156.png,2.050556008665118,0.25286256716395983,0.22054982284629776,0.5691024357687227,0.3179005442481175,0.00010730000212788582
0.05,original,157.png,2.2930725285610247,0.2973038363413421,0.25263157894722543,0.6608438193920639,0.3655271238485159,0.00018759997328743339
0.05,original,159.png,2.425696971668235,0.20436157244880684,0.38934426229488495,0.7583522223309762,0.514526428404266,0.0002294000005349517
0.05,original,16.png,2.18035780314586,0.2887187791287985,0.15017133642405758,0.49855007807216306,0.23081689559020965,0.00011449999874457717
0.05,original,160.png,2.2050177371512176,0.14949471355494584,0.24403781640729244,0.6372033763327963,0.3529152333068713,0.00016499997582286596
0.05,original,161.png,2.030401493611608,0.5134172843192154,0.35046384145037396,0.6143965995189296,0.4463314761361348,0.000172399973962456
0.05,original,162.png,2.322362148647768,0.3058145396076372,0.24569604890535995,0.6940071102073464,0.36291206055173786,0.0001868000254034996
0.05,original,163.png,2.2315919357617235,0.39306010934495533,0.2665683828531943,0.7245992601721796,0.38975294312717623,0.00015360000543296337
0.05,original,164.png,2.1882369086819193,0.44356831888589143,0.3012381975460501,0.7373373927473882,0.4277284951631678,0.00019510003039613366
0.05,original,165.png,2.1489796094256493,0.4900850556903138,0.2904774750471297,0.7145321831448477,0.4130418105101649,0.00018559995805844665
